column_position,field_name,official_field_name,source_table,meaning,availability_time,decision,model_handling,risk_type,rationale,csv_blank_count,csv_blank_pct,official_unknown_count,official_unknown_pct,observed_category_count,audit_status
1,collision_index,collision_index,collision,Unique collision identifier,record_created_after_collision,EXCLUDE_IDENTIFIER,drop,memorization,A unique record key has no transferable predictive meaning.,0,0.0,0,0.0,,FROZEN_D3_V1
2,collision_year,collision_year,collision,Calendar year,known_at_collision,SPLIT_ONLY,temporal split and reporting only,temporal_shortcut,Use for temporal partitioning; including it would let the model exploit year-specific prevalence.,0,0.0,0,0.0,,FROZEN_D3_V1
3,collision_ref_no,collision_ref_no,collision,Police in-year reference,record_created_after_collision,EXCLUDE_IDENTIFIER,drop,memorization,Administrative reference is not unique across years and has no transferable meaning.,0,0.0,0,0.0,,FROZEN_D3_V1
4,location_easting_osgr,location_easting_osgr,collision,Exact OSGR easting,location_exists_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,spatial_shortcut,Exact coordinates encourage location memorization and weaken geographic transportability.,148,0.0001990194259096398,0,0.0,,FROZEN_D3_V1
5,location_northing_osgr,location_northing_osgr,collision,Exact OSGR northing,location_exists_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,spatial_shortcut,Exact coordinates encourage location memorization and weaken geographic transportability.,148,0.0001990194259096398,0,0.0,,FROZEN_D3_V1
6,longitude,longitude,collision,Exact longitude,location_exists_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,spatial_shortcut,Exact coordinates encourage location memorization and weaken geographic transportability.,148,0.0001990194259096398,0,0.0,,FROZEN_D3_V1
7,latitude,latitude,collision,Exact latitude,location_exists_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,spatial_shortcut,Exact coordinates encourage location memorization and weaken geographic transportability.,148,0.0001990194259096398,0,0.0,,FROZEN_D3_V1
8,police_force,police_force,collision,Reporting police force,known_from_location_and_reporting_system,GROUP_ONLY,regional grouping and sensitivity audit,reporting_and_geography_proxy,"Useful for geographic evaluation, but as a predictor it can encode force-specific reporting practice.",0,0.0,0,0.0,52,FROZEN_D3_V1
9,collision_severity,collision_severity,collision,Reported collision severity,outcome_after_collision,TARGET,"map 3=Slight to 0, 2=Serious to 1, 1=Fatal to 2",target,This is the prespecified ordinal prediction target.,0,0.0,0,0.0,3,FROZEN_D3_V1
10,number_of_vehicles,number_of_vehicles,collision,Vehicles involved,known_after_impact,EXCLUDE_POST_COLLISION,drop,post_collision_information,The number involved is not fixed before impact under the strict prediction-time definition.,0,0.0,0,0.0,,FROZEN_D3_V1
11,number_of_casualties,number_of_casualties,collision,Casualties resulting from collision,known_after_collision,EXCLUDE_OUTCOME,drop,direct_outcome_leakage,Casualty count is a consequence of the event and directly related to the target.,0,0.0,0,0.0,,FROZEN_D3_V1
12,date,date,collision,Collision date,known_at_collision,DERIVE_THEN_DROP,derive month; retain only outside feature matrix for chronology,temporal_shortcut_if_raw,Month captures seasonality; raw date is reserved for chronological splitting and then dropped.,0,0.0,0,0.0,,FROZEN_D3_V1
13,day_of_week,day_of_week,collision,Day of week,known_before_collision,INCLUDE,categorical,low,Calendar condition is available without using post-collision information.,0,0.0,0,0.0,7,FROZEN_D3_V1
14,time,time,collision,Collision time,known_at_collision,DERIVE_THEN_DROP,derive hour as categorical; drop raw HH:MM,overprecision,Hour preserves time-of-day information without treating each minute as a separate pattern.,0,0.0,0,0.0,,FROZEN_D3_V1
15,local_authority_district,local_authority_district,collision,Historic local-authority district,location_exists_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,high_cardinality_spatial_shortcut,Administrative geography is high-cardinality and boundaries change over time.,0,0.0,0,0.0,382,FROZEN_D3_V1
16,local_authority_ons_district,local_authority_ons_district,collision,ONS district,location_exists_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,high_cardinality_spatial_shortcut,Administrative geography is high-cardinality and boundaries change over time.,0,0.0,0,0.0,,FROZEN_D3_V1
17,local_authority_highway,local_authority_highway,collision,Historic highway authority,location_exists_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,high_cardinality_spatial_shortcut,Authority code is mainly a location identifier and has changing boundaries.,0,0.0,0,0.0,,FROZEN_D3_V1
18,local_authority_highway_current,local_authority_highway_current,collision,Current harmonized highway authority,derived_from_location,EXCLUDE_EXACT_GEOGRAPHY,drop,high_cardinality_spatial_shortcut,Current boundary mapping is useful administratively but can memorize geography.,0,0.0,0,0.0,,FROZEN_D3_V1
19,first_road_class,first_road_class,collision,Primary-road class,road_attribute_before_collision,INCLUDE,categorical,low,Road class is a stable pre-existing road attribute.,0,0.0,0,0.0,6,FROZEN_D3_V1
20,first_road_number,first_road_number,collision,Primary-road number,road_attribute_before_collision,EXCLUDE_HIGH_CARDINALITY,drop,route_identifier_shortcut,Road number is a high-cardinality route identifier rather than a general road characteristic.,0,0.0,0,0.0,,FROZEN_D3_V1
21,road_type,road_type,collision,Road layout/type,road_attribute_before_collision,INCLUDE,categorical,low,Road type is a pre-existing geometric characteristic.,0,0.0,17648,0.023731721813873806,6,FROZEN_D3_V1
22,speed_limit,speed_limit,collision,Posted speed limit,road_attribute_before_collision,INCLUDE,ordered discrete numeric; convert -1 to missing,low,The legal speed limit exists before the collision; -1 is not a physical speed.,0,0.0,95,0.0001277489558203769,,FROZEN_D3_V1
23,junction_detail_historic,junction_detail_historic,collision,Historic junction-detail coding,road_attribute_before_collision,EXCLUDE_HISTORIC_DUPLICATE,drop,redundancy_and_schema_drift,Use the DfT-harmonized current junction_detail field instead.,0,0.0,71507,0.09615731140892306,11,FROZEN_D3_V1
24,junction_detail,junction_detail,collision,Harmonized junction detail,road_attribute_before_collision,INCLUDE,categorical; retain unknown/not-applicable category,conversion_uncertainty,Current-format field provides one coding scheme across all study years.,0,0.0,16962,0.02280923988026561,8,FROZEN_D3_V1
25,junction_control,junction_control,collision,Junction control,road_attribute_before_collision,INCLUDE,categorical; retain unknown/not-applicable category,structural_missingness,Control type exists before collision; many non-junction records are structurally not applicable.,0,0.0,328146,0.44126640901719366,7,FROZEN_D3_V1
26,second_road_class,second_road_class,collision,Secondary-road class,road_attribute_before_collision,INCLUDE,categorical; retain not-applicable category,structural_missingness,Provides junction context while explicitly retaining non-junction cases.,0,0.0,11756,0.015808597101308955,9,FROZEN_D3_V1
27,second_road_number,second_road_number,collision,Secondary-road number,road_attribute_before_collision,EXCLUDE_HIGH_CARDINALITY,drop,route_identifier_shortcut,Road number is a high-cardinality route identifier rather than a general road characteristic.,0,0.0,0,0.0,,FROZEN_D3_V1
28,pedestrian_crossing_human_control_historic,pedestrian_crossing_human_control_historic,collision,Historic crossing human-control field,road_attribute_before_collision,EXCLUDE_HISTORIC_DUPLICATE,drop,redundancy_and_schema_drift,Superseded by the harmonized pedestrian_crossing field.,0,0.0,90950,0.12230281612487662,5,FROZEN_D3_V1
29,pedestrian_crossing_physical_facilities_historic,pedestrian_crossing_physical_facilities_historic,collision,Historic crossing-facility field,road_attribute_before_collision,EXCLUDE_HISTORIC_DUPLICATE,drop,redundancy_and_schema_drift,Superseded by the harmonized pedestrian_crossing field.,0,0.0,87045,0.11705166167773376,8,FROZEN_D3_V1
30,pedestrian_crossing,pedestrian_crossing,collision,Harmonized pedestrian crossing,road_attribute_before_collision,INCLUDE,categorical; retain unknown category,conversion_uncertainty,Crossing facility is a pre-existing road attribute and current coding is harmonized.,0,0.0,23829,0.03204347229730275,10,FROZEN_D3_V1
31,light_conditions,light_conditions,collision,Lighting at collision,observable_at_collision,INCLUDE,categorical; retain unknown category,retrospective_recording,Lighting existed at the event and is not derived from injury severity.,0,0.0,14333,0.019273955618668022,6,FROZEN_D3_V1
32,weather_conditions,weather_conditions,collision,Weather at collision,observable_at_collision,INCLUDE,categorical; retain unknown category,retrospective_recording,Weather existed at the event and is not derived from injury severity.,0,0.0,21738,0.029231650543403716,10,FROZEN_D3_V1
33,road_surface_conditions,road_surface_conditions,collision,Road-surface state,observable_at_collision,INCLUDE,categorical; retain unknown category,retrospective_recording,Surface state existed at the event and is not derived from injury severity.,0,0.0,12007,0.0161461232898449,7,FROZEN_D3_V1
34,special_conditions_at_site,special_conditions_at_site,collision,Special site condition,exists_at_or_before_collision,INCLUDE,categorical; retain unknown category,retrospective_recording,"Recorded conditions such as roadworks or defects pre-exist the injury outcome, but are documented retrospectively.",0,0.0,78857,0.10604104641186801,10,FROZEN_D3_V1
35,carriageway_hazards_historic,carriageway_hazards_historic,collision,Historic carriageway-hazard coding,exists_at_or_before_collision,EXCLUDE_HISTORIC_DUPLICATE,drop,redundancy_and_schema_drift,Use the DfT-harmonized current carriageway_hazards field instead.,0,0.0,76947,0.10347262003695307,8,FROZEN_D3_V1
36,carriageway_hazards,carriageway_hazards,collision,Harmonized carriageway hazard,exists_at_or_before_collision,INCLUDE,categorical; retain unknown category,retrospective_recording,Hazard existed at the event; current-format coding is used consistently.,0,0.0,16262,0.021867931784747045,14,FROZEN_D3_V1
37,urban_or_rural_area,urban_or_rural_area,collision,Urban/rural classification,location_attribute_before_collision,INCLUDE,categorical; retain unknown category,low,Broad area type is transferable and avoids exact-location memorization.,0,0.0,9,1.2102532656667285e-05,4,FROZEN_D3_V1
38,did_police_officer_attend_scene_of_accident,did_police_officer_attend_scene_of_accident,collision,Police attendance,response_after_collision,EXCLUDE_POST_COLLISION,drop,response_leakage,Attendance is decided after the collision and is likely associated with event severity.,0,0.0,3,4.0341775522224285e-06,4,FROZEN_D3_V1
39,trunk_road_flag,trunk_road_flag,collision,Trunk-road status,road_attribute_before_collision,INCLUDE,categorical; retain unknown/not-applicable category,coverage_variation,Trunk-road status is a pre-existing road characteristic.,0,0.0,56540,0.07603079960088537,3,FROZEN_D3_V1
40,lsoa_of_accident_location,lsoa_of_accident_location,collision,Lower-layer statistical area,derived_from_location,EXCLUDE_EXACT_GEOGRAPHY,drop,high_cardinality_spatial_shortcut,LSOA is a fine geographic identifier and is not available uniformly for Scotland.,0,0.0,0,0.0,,FROZEN_D3_V1
41,enhanced_severity_collision,enhanced_collision_severity,collision,Enhanced severity category,alternative_outcome_after_collision,EXCLUDE_TARGET_DERIVED,drop,direct_target_leakage,"This is an alternative severity outcome, not an independent predictor.",0,0.0,389008,0.5231091137449808,6,FROZEN_D3_V1
42,collision_injury_based,collision_injury_based,collision,Injury-based reporting-system flag,reporting_process_metadata,REPORTING_AUDIT_ONLY,exclude from model; use for label-process sensitivity reporting,label_definition_proxy,It identifies how severity was recorded and can let the model learn reporting practice rather than injury risk.,0,0.0,0,0.0,2,FROZEN_D3_V1
43,collision_adjusted_severity_serious,collision_adjusted_serious,collision,DfT adjusted-serious probability,modelled_from_severity_reporting,EXCLUDE_TARGET_DERIVED,drop,target_model_leakage,Official guidance defines this as a severity-adjustment model probability.,0,0.0,0,0.0,,FROZEN_D3_V1
44,collision_adjusted_severity_slight,collision_adjusted_slight,collision,DfT adjusted-slight probability,modelled_from_severity_reporting,EXCLUDE_TARGET_DERIVED,drop,target_model_leakage,Official guidance defines this as a severity-adjustment model probability.,0,0.0,0,0.0,,FROZEN_D3_V1
