stats19_feature,cas_feature,relationship,reason
feature_day_of_week,,none,"CAS public layer has no raw crash date or day-of-week field."
feature_first_road_class,crashSHDescription,partial,"CAS distinguishes State Highway from other roads; it does not use the STATS19 road-class levels."
feature_road_type,roadLane|roadCharacter,partial,"Lane configuration and road character overlap conceptually but use different constructs and labels."
feature_junction_detail,,none,"The live CAS intersection field is undocumented and was excluded."
feature_junction_control,trafficControl,partial,"Both describe traffic control; category definitions are jurisdiction-specific."
feature_second_road_class,,none,"No documented equivalent is available in the CAS public layer."
feature_pedestrian_crossing,,none,"No pre-collision pedestrian-crossing field is available in the CAS public layer."
feature_light_conditions,light|streetLight,close_concept,"CAS separates ambient light from street lighting; labels require dataset-specific preprocessing."
feature_weather_conditions,weatherA|weatherB,close_concept,"CAS splits weather across two fields and uses different labels."
feature_road_surface_conditions,,none,"CAS roadSurface is surface type, not the wet/dry or contaminant condition represented in STATS19."
feature_special_conditions_at_site,,none,"No documented pre-collision equivalent is available."
feature_carriageway_hazards,,none,"Available struck-object variables are event-derived and were excluded."
feature_urban_or_rural_area,urban,partial,"CAS urban is derived from speedLimit and is not an independently coded geography field."
feature_trunk_road_flag,crashSHDescription,partial,"State Highway and trunk-road status are related but not jurisdictionally identical."
feature_speed_limit,speedLimit,close_concept,"Numeric coding and ranges differ by jurisdiction; values must not be pooled."
feature_month,,none,"CAS public layer has no raw crash date from which month can be derived."
feature_hour,,none,"CAS public layer has no raw crash time from which hour can be derived."
,advisorySpeed,cas_only,"Documented CAS road attribute with no STATS19 counterpart in the frozen feature set."
,temporarySpeedLimit,cas_only,"Documented CAS road attribute with no STATS19 counterpart in the frozen feature set."
,NumberOfLanes,cas_only,"Documented CAS road attribute with no STATS19 counterpart in the frozen feature set."
,flatHill,cas_only,"Documented CAS road attribute with no STATS19 counterpart in the frozen feature set."
,roadSurface,cas_only,"CAS surface type has no equivalent in the frozen STATS19 feature set."
